url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-add-hosts,Add hosts to a multiple-host SAP HANA system,Add hosts to a multiple-host SAP HANA system using Azure NetApp Files application volume group for SAP HANA,Size and add SAP HANA hosts on Azure NetApp Files,Describes how to add more HANA hosts after you've created the first host in an SAP HANA multiple-host setup.,"Building a multiple-host SAP HANA database always starts with creating a volume group for the first host. To begin, you must create the first host in an SAP HANA multiple-host setup (seeDeploy the first SAP HANA host). After that, you can add additional HANA hosts by following steps in this article. Important SAP recommends that you size the HANA shared volume to 1 x RAM of a HANA host for every four SAP HANA hosts of a multiple-host SAP HANA database. You might need to adjust the size for the s",2025-07-11T08:00:00.000Z,how-to,best-practices,0.7,True,"Contains a concrete SAP recommendation: size HANA shared volume to 1× RAM per four hosts, which is a product- and workload-specific sizing guideline with numeric ratio (1× RAM / 4 hosts). This is actionable best-practices guidance beyond generic knowledge."
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-add-volume-secondary,Add volumes for an SAP HANA system as a secondary database in HSR,Add volumes for an SAP HANA system as a secondary database in HSR using Azure NetApp Files,,Describes using application volume group to add volumes for an SAP HANA system as a secondary database in HANA System Replication (HSR).,This article describes using application volume group to add volumes for an SAP HANA system as a secondary database in HANA System Replication (HSR).,2026-01-07T08:00:00.000Z,how-to,,0.4,False,"Describes adding volumes for HSR secondary; summary does not indicate numeric limits, config parameter tables, or detailed error mappings."
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-concept,Understand application volume groups,Understand Azure NetApp Files application volume groups,,"Learn about application volume groups in Azure NetApp Files, designed to enhance efficiency, manageability, and administration of application workloads.","In managing data and optimizing storage solutions, understanding how an application volume group functions is crucial. An application volume group is a framework designed to streamline the deployment of application volumes. It acts as a cohesive entity, bringing together related volumes to enhance efficiency, manageability, ease of administration, and volume placement relative to compute resources. Application volume group provides technical improvements to simplify and standardize the volume de",2025-04-22T08:00:00.000Z,concept-article,,0.2,False,"Conceptual explanation of application volume groups and their benefits; no indication of specific configuration values, limits, or troubleshooting content."
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-considerations,Requirements and considerations for application volume group for SAP HANA,Requirements and considerations for Azure NetApp Files application volume group for SAP HANA,Apply requirements for SAP HANA application volume groups on Azure NetApp Files,Describes the requirements and considerations you need to be aware of before using Azure NetApp Files application volume group for SAP HANA.,This article describes the requirements and considerations you need to be aware of before using Azure NetApp Files application volume group (AVG) for SAP HANA.,2025-04-22T17:03:00.000Z,concept-article,configuration,0.7,True,"A requirements and considerations page for AVG for SAP HANA is likely to list specific constraints (supported regions, volume counts, naming, size ranges, supported SKUs) that are product-specific configuration knowledge."
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-delete,Delete an application volume group,Delete an application volume group in Azure NetApp Files,,Describes how to delete an application volume group.,"This article describes how to delete an application volume group. Important You can delete a volume group only if it contains no volumes. Before deleting a volume group, delete all volumes in the group. If the volume group containsanyvolume, an error message prevents you from deleting the volume group. Network interfaces related to volumes groups cannot be deleted manually. They are deleted automatically when the volume group is deleted.",2025-03-27T17:09:00.000Z,how-to,,0.4,False,"Delete operation with a simple precondition (no volumes in group); no numeric limits, config parameters, or detailed troubleshooting mappings indicated."
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-deploy-first-host,Deploy the first SAP HANA host,Deploy the first SAP HANA host using Azure NetApp Files application volume group for SAP HANA,,Describes how to deploy the first SAP HANA host using Azure NetApp Files application volume group for SAP HANA.,"All deployments start with the volumes for a single SAP HANA host. This is the case even for large, multiple-host installations. The shared, log-backup, and data-backup volumes are created only for the first host. All other hosts in a multiple-host environment share these volumes, and they add only data and log volumes for each additional host. This article describes how to deploy the first SAP HANA host using Azure NetApp Files application volume group for SAP HANA.",2026-01-07T08:00:00.000Z,how-to,,0.5,False,"Deployment steps for first SAP HANA host; summary does not show numeric thresholds, limits, or detailed configuration matrices."
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-disaster-recovery,Add volumes for an SAP HANA system as a DR system,Add volumes for an SAP HANA system as a DR system using Azure NetApp Files cross-region replication,,Describes using an application volume group to add volumes for an SAP HANA system as a disaster recovery (DR) system.,This article describes using an application volume group to add volumes for an SAP HANA system as a disaster recovery (DR) system. This configuration uses Azure NetApp Files cross-region replication (CRR) functionality.,2025-07-11T08:00:00.000Z,how-to,,0.4,False,"DR configuration using cross-region replication; appears to be scenario how-to without explicit limits, quotas, or config matrices in the summary."
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-introduction,Understand application volume group for SAP HANA,Understand Azure NetApp Files application volume group for SAP HANA,,Describes the use cases and key features of Azure NetApp Files application volume group for SAP HANA.,"This article helps you understand the use cases and key features of Azure NetApp Files application volume group for SAP HANA. Application volume group for SAP HANA enables you to deploy all volumes required to install and operate an SAP HANA database according to best practices. Instead of individually creating the required SAP HANA volumes (including data, log, shared, log-backup, and data-backup volumes), application volume group for SAP HANA creates these volumes in a single ""atomic"" call. Th",2025-04-22T08:00:00.000Z,concept-article,,0.25,False,"Introduces application volume group for SAP HANA and its use cases; while it mentions best practices generally, the summary does not show concrete parameters, limits, or decision matrices."
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-manage-volumes,Manage volumes in an application volume group for SAP HANA,Manage volumes in Azure NetApp Files application volume group,,"Describes how to manage a volume from its application volume group, including resizing, deleting, or changing throughput for the volume.","You can manage a volume from its volume group. You can resize, delete, or change throughput for the volume.",2025-07-11T22:35:00.000Z,how-to,,0.3,False,Generic manage/resize/change throughput operations; summary does not show numeric constraints or detailed configuration tables.
https://learn.microsoft.com/en-us/azure/azure-netapp-files/application-volume-group-manage-volumes-oracle,Manage volumes in an application volume group for Oracle,Manage volumes in Azure NetApp Files application volume group for Oracle,,"Describes how to manage a volume from its application volume group for Oracle, including resizing, deleting, or changing throughput for the volume.","You can manage a volume from its volume group. You can resize, delete, or change throughput for the volume.",2025-07-11T22:35:00.000Z,how-to,,0.3,False,Manage/resize/change throughput for Oracle AVGs; appears procedural without explicit numeric limits or configuration matrices in the summary.
