url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/data-manager-for-agri/concepts-byol-and-credentials,Using your license keys,Storing your license keys in Azure Data Manager for Agriculture,Store and manage third-party license credentials securely in Azure Data Manager for Agriculture,Provides information on using third party keys,"Azure Data Manager for Agriculture supports a range of data ingress connectors to centralize your fragmented accounts. These connections require the customer to populate their credentials in a Bring Your Own License (BYOL) model, so that the data manager may retrieve data on behalf of the customer. Important Microsoft Azure Data Manager for Agriculture (Preview) will be retired on September 1, 2025. If you are actively using Azure Data Manager for Agriculture (Preview), we recommend that you pau",2025-04-11T17:03:00.000Z,conceptual,security,0.7,True,"BYOL credential storage for connectors; likely includes product-specific guidance on where/how to store keys and required permissions, fitting security configuration patterns."
https://learn.microsoft.com/en-us/azure/data-manager-for-agri/concepts-farm-operations-data,Farm Machinery data ingestion,Work with farm activities data in Azure Data Manager for Agriculture,Integrate farm activities data providers with Azure Data Manager for Agriculture,Learn how to integrate with data providers for farm activities and ingest data into Azure Data Manager for Agriculture.,"Data about farm activities is one of the most important ground-truth datasets in precision agriculture. These machine-generated reports preserve the record of exactly what happened and when. That record can help improve in-field practice and the downstream value-chain analytics. Azure Data Manager for Agriculture supports both: New operation data can be pushed into the service via the APIs for operation and attachment creation. Or, if the desired source is in the supported list of original equip",2025-04-11T17:03:00.000Z,conceptual,integrations,0.65,True,Describes integrating with specific farm activity data providers and ingesting data; likely includes provider-specific API/connector parameters and patterns beyond a simple tutorial.
https://learn.microsoft.com/en-us/azure/data-manager-for-agri/concepts-hierarchy-model,Hierarchy model,Hierarchy model in Azure Data Manager for Agriculture,,Get information on the data model to organize your agriculture-related data.,"Important Microsoft Azure Data Manager for Agriculture (Preview) will be retired on September 1, 2025. If you are actively using Azure Data Manager for Agriculture (Preview), we recommend that you pause new development and begin transition planning as soon as possible.This preview no longer receives functional or security updates. Microsoft doesn't retain copies of your data. Extract your data as soon as possible; Microsoft will delete it 30 days after the retirement date. Thank you for engaging",2025-04-11T17:03:00.000Z,conceptual,,0.2,False,"Conceptual description of the hierarchy data model; no numeric limits, config parameters, or troubleshooting content."
https://learn.microsoft.com/en-us/azure/data-manager-for-agri/concepts-ingest-satellite-imagery,Satellite data ingestion,Ingest satellite data in Azure Data Manager for Agriculture,Configure Sentinel Hub satellite imagery ingestion in Azure Data Manager for Agriculture,Get step-by-step guidance on how to ingest satellite data.,"Satellite imagery is a foundational pillar of agriculture data. To support scalable ingestion of geometry-clipped imagery, Microsoft partnered with Sentinel Hub by Sinergise to provide a seamless bring your own license (BYOL) experience for Azure Data Manager for Agriculture. You can use this BYOL experience to manage your own costs. This capability helps you with storing your field-clipped historical and up-to-date imagery in the linked context of the relevant fields.",2024-03-29T22:04:00.000Z,conceptual,integrations,0.7,True,"Details a BYOL integration with Sentinel Hub, likely including provider-specific configuration parameters and ingestion settings unique to this product."
https://learn.microsoft.com/en-us/azure/data-manager-for-agri/concepts-ingest-sensor-data,Sensor data ingestion,Ingest sensor data in Azure Data Manager for Agriculture,Ingest agriculture sensor data into Azure Data Manager for Agriculture,Get step-by-step guidance for ingesting sensor data.,"Smart agriculture, also known as precision agriculture, allows growers to maximize yields by using minimal resources such as water, fertilizer, and seeds. By deploying sensors, growers and research organizations can begin to understand crops at a micro scale, conserve resources, reduce impact on the environment, and maximize crop yield. Sensors enable important ground-truth data (such as soil moisture, rainfall, and wind speed). This data, in turn, improves the accuracy of recommendations. Senso",2025-04-11T17:03:00.000Z,conceptual,integrations,0.65,True,Step-by-step sensor ingestion guidance; likely includes product-specific API/connector parameters and patterns for sensor data integration.
https://learn.microsoft.com/en-us/azure/data-manager-for-agri/concepts-ingest-weather-data,Weather data ingestion,Ingest weather forecast data in Azure Data Manager for Agriculture,Integrate weather data providers via extensions in Azure Data Manager for Agriculture,Learn how to fetch weather data from various weather data providers through extensions and provider-agnostic APIs.,Weather is a highly democratized service in the agriculture industry. Azure Data Manager for Agriculture offers customers the ability to work with the weather provider of their choice. Azure Data Manager for Agriculture provides current and forecast weather data through an extension-based and provider-agnostic approach. You can work with a provider of your choice by following thesteps for writing a weather extension.,2024-08-01T11:20:00.000Z,conceptual,integrations,0.7,True,"Covers extension-based, provider-agnostic weather APIs; likely documents extension configuration parameters and API usage specific to this service."
https://learn.microsoft.com/en-us/azure/data-manager-for-agri/concepts-isv-solutions,Using ISV solutions,ISV solution framework in Azure Data Manager for Agriculture,,Learn about solutions that ISVs build on top of Azure Data Manager for Agriculture.,"In this article, you learn how Azure Data Manager for Agriculture provides a framework for customers to use solutions built by Bayer and other independent software vendor (ISV) partners. Important Microsoft Azure Data Manager for Agriculture (Preview) will be retired on September 1, 2025. If you are actively using Azure Data Manager for Agriculture (Preview), we recommend that you pause new development and begin transition planning as soon as possible.This preview no longer receives functional o",2025-04-11T17:03:00.000Z,conceptual,,0.3,False,"Conceptual ISV solution framework overview; no clear indication of detailed configuration tables, limits, or security specifics."
https://learn.microsoft.com/en-us/azure/data-manager-for-agri/concepts-llm-apis,Using generative AI,Generative AI in Azure Data Manager for Agriculture,,Learn how to use generative AI features in Azure Data Manager for Agriculture.,"Microsoft copilot templates empower organizations to build agriculture copilots. Our copilot templates enable seamless retrieval of data stored in Azure Data Manager for Agriculture so that farming-related context and insights can be queried in a conversational context. Many customers have proprietary data outside Azure Data Manager for Agriculture; for example, agronomy PDFs or market price data. These customers can benefit from an orchestration framework that allows for plugins, embedded data ",2024-04-02T11:26:00.000Z,conceptual,,0.4,False,"Describes generative AI features and copilot templates conceptually; summary does not indicate detailed configuration tables, limits, or error mappings."
https://learn.microsoft.com/en-us/azure/data-manager-for-agri/concepts-understanding-throttling,Understanding throttling,API throttling guidance for Azure Data Manager for Agriculture,Plan and manage API throttling limits for Azure Data Manager for Agriculture,This article provides information on API throttling limits to plan usage in Azure Data Manager for Agriculture.,"Throttling limits the number of requests to a service in a time span to prevent the overuse of resources. The throttling of the REST API in Azure Data Manager for Agriculture allows more consistent performance within a time span for customers who call the service's APIs. Azure Data Manager for Agriculture can handle a high volume of requests. If an overwhelming number of requests occur from a few customers, throttling helps maintain optimal performance and reliability for all customers. Throttli",2024-03-29T22:04:00.000Z,conceptual,limits-quotas,0.85,True,Explicitly described as API throttling limits guidance; such pages typically list numeric request-per-time-span limits and behaviors that qualify as expert limits/quotas knowledge.
https://learn.microsoft.com/en-us/azure/data-manager-for-agri/faq-agriculture-data-services,FAQs,Microsoft Azure Data Manager for Agriculture FAQs,,Get answers to common questions about Azure Data Manager for Agriculture.,This article answers commonly asked questions about the Azure Data Manager for Agriculture.,2023-10-04T11:17:00.000Z,conceptual,,0.3,False,"FAQ content is typically high-level Q&A; description does not indicate presence of specific limits, error codes, or configuration tables that would qualify as expert knowledge."
