url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/access-app-virtual-network,Access your application in a private network,Access an App in Azure Spring Apps in a Virtual Network,Configure private network access to Azure Spring Apps apps,Shows how to access an app in Azure Spring Apps in a virtual network.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise This article explains how to access an endpoint for your application in a private network. When you assign an endpoint on an application in an Azure Spring Apps service instance deployed in your virtual network, the endpoint uses a private fully qualified domain name (FQDN). The doma",2025-08-19T00:00:00Z,how-to,configuration,0.75,True,"Explains assigning private endpoints and FQDNs for apps in a VNet; involves DNS names, endpoint configuration, and Azure Spring Apps-specific networking settings."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/application-observability,Optimize application observability,Optimize Application Observability for Azure Spring Apps,Optimize observability for production workloads on Azure Spring Apps,Learn how to observe the application of Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ❎ C# This article applies to:✅ Basic/Standard ❎ Enterprise This article shows you how to observe your production applications deployed on Azure Spring Apps and diagnose and investigate production issues. Observability is the ability to collect insights, analytics, and actionable intelligence through the lo",2025-08-19T00:00:00Z,how-to,best-practices,0.7,True,"Focuses on observing production applications and diagnosing issues; such guidance typically includes Azure Spring Apps-specific recommendations, configuration patterns, and gotchas for logs/metrics/traces."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/breaking-changes,API breaking changes,Azure Spring Apps API Breaking Changes,Handle Azure Spring Apps API breaking changes,Describes the breaking changes introduced by the latest Azure Spring Apps stable API version.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise This article describes breaking changes introduced into the Azure Spring Apps API. The Azure Spring Apps service releases the new stable API version 2022-04-01. The new API version introduces breaking changes based on the previous stable API version 2020-07-01. We suggest that you up",2025-08-19T00:00:00Z,how-to,configuration,0.68,True,"Details breaking changes between API versions 2020-07-01 and 2022-04-01; typically lists changed/removed/renamed properties and required configuration updates, which are precise, version-specific configuration knowledge."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-app-customer-responsibilities,"Version support for Java, Spring Boot, and more","Version Support for Java, Spring Boot, and More - Azure Spring Apps",Version support policy for Java and Spring on Azure Spring Apps,"This article describes the version support for Java, Spring Boot, and Spring Cloud, and the customer responsibilities when developing Azure Spring Apps.","Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise This article describes the support policy for Java, Spring Boot, and Spring Cloud versions for all Azure Spring Apps plans, and versions of other SDKs and OS images for the Enterprise plan. Azure Spring Apps provides and maintains the SDKs and base OS images necessary to run your app",2025-08-19T00:00:00Z,conceptual,limits-quotas,0.7,True,"Describes version support policy for Java, Spring Boot, Spring Cloud, SDKs, and OS images; such policies typically include specific supported versions and timelines, which are numeric constraints akin to limits/quotas."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-app-status,Understand app status,App Status in Azure Spring Apps,,Learn the app status categories in Azure Spring Apps,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise This article shows you how to view app status for Azure Spring Apps. The Azure Spring Apps UI delivers information about the status of running applications. There's anAppsoption for each resource group in a subscription that displays general status",2025-08-19T00:00:00Z,conceptual,,0.2,False,"Describes app status categories and how to view them in the portal; conceptual/UX-focused without numeric limits, config tables, or error-code-based troubleshooting."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-manage-monitor-app-spring-boot-actuator,Spring Boot Actuator,Manage and Monitor App with Spring Boot Actuator,,Learn how to manage and monitor app with Spring Boot Actuator.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ❎ C# This article applies to:✅ Basic/Standard ✅ Enterprise Spring Boot Actuator brings production-ready features to your apps. You can effortlessly monitor your app, collect metrics, and understand the status or database activity with this tool. You gain access to professional-grade tools without needing t",2025-08-19T00:00:00Z,conceptual,,0.4,False,Describes using Spring Boot Actuator with Azure Spring Apps; likely a general monitoring/management concept and tutorial rather than detailed Azure-specific configuration matrices or quotas.
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-metrics,Metrics,Metrics for Azure Spring Apps,,Learn how to review metrics in Azure Spring Apps,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise Azure Metrics explorer is a component of the Microsoft Azure portal that allows plotting charts, visually correlating trends, and investigating spikes and dips in metrics. Use the metrics explorer to investigate the health and utilization of your resources. In an Azure Spring Apps in",2025-08-19T00:00:00Z,conceptual,,0.3,False,"Explains how to review metrics using Azure Metrics Explorer; appears to be conceptual/usage guidance without product-specific limits, config parameter tables, or error mappings."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-outbound-type,Customize Azure Spring Apps egress with a user-defined route,Customize Azure Spring Apps Egress with a User-Defined Route,Configure user-defined routes for Azure Spring Apps egress,Learn how to customize Azure Spring Apps egress with a user-defined route.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise This article describes how to customize an instance's egress route to support custom network scenarios. For example, you might want to customize an instance's egress route for networks that disallow public IPs and require the instance to sit behind",2025-08-19T00:00:00Z,article,configuration,0.65,True,"Customizing egress with user-defined routes is a networking configuration topic; such pages typically include specific setting names, route table parameters, and allowed values unique to Azure Spring Apps networking."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-security-controls,Security controls,Security Controls for Azure Spring Apps Service,Understand built-in security controls in Azure Spring Apps,Use security controls built in into Azure Spring Apps Service.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Basic/Standard ✅ Enterprise Security controls are built into Azure Spring Apps Service. A security control is a quality or feature of an Azure service that contributes to the service's ability to prevent, detect, and respond to security vulnerabilities.  For each control, we useYesorNoto indicate whether it is ",2025-08-19T00:00:00Z,conceptual,security,0.65,True,"Lists security controls with Yes/No support per control; this is product-specific security capability mapping tied to compliance controls, which is detailed security knowledge beyond generic concepts."
https://learn.microsoft.com/en-us/azure/spring-apps/basic-standard/concept-understand-app-and-deployment,App and deployment,App and Deployment in Azure Spring Apps,,Explains the distinction between application and deployment in Azure Spring Apps.,"Note TheBasic,Standard, andEnterpriseplans entered a retirement period on March 17, 2025. For more information, see theAzure Spring Apps retirement announcement. This article applies to:✅ Java ✅ C# This article applies to:✅ Basic/Standard ✅ Enterprise AppandDeploymentare the two key concepts in the resource model of Azure Spring Apps. In Azure Spring Apps, an App is an abstraction of one business app. One version of code or binary deployed as the App runs in a Deployment. Apps run in anAzure Spr",2025-08-19T00:00:00Z,conceptual,,0.3,False,"Conceptual explanation of app vs deployment resource model; primarily conceptual without detailed configuration tables, limits, or troubleshooting mappings."
