url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/azure-fluid-relay/concepts/architecture,Architecture,Overview of Azure Fluid Relay architecture - Azure Fluid Relay,,Overview of Azure Fluid Relay Architecture,There are three primary concepts to understand when building an application with Fluid.,2022-07-29T22:02:00.000Z,article,,0.2,False,"Architecture overview is conceptual; no quantified thresholds, decision matrices, or product-specific numeric criteria."
https://learn.microsoft.com/en-us/azure/azure-fluid-relay/concepts/authentication-authorization,Authentication and authorization in your app,Authentication and authorization in your app - Azure Fluid Relay,Implement authentication and authorization for Azure Fluid Relay apps,Overview of how to use authentication and authorization with an Azure Fluid Relay service.,"Security is critical to modern web applications. Fluid Framework, as a part of your web application architecture is an important piece of infrastructure to secure. Fluid Framework is a layered architecture, and auth-related concepts are implemented based on the Fluid service it's connecting to. This means that, although there are common authentication themes across all Fluid services, the details and specifics will differ for each service.",2022-07-29T22:02:00.000Z,article,security,0.7,True,"Covers how auth is layered and implemented per Fluid service, with Azure Fluid Relay–specific auth details; this is product-specific security configuration guidance."
https://learn.microsoft.com/en-us/azure/azure-fluid-relay/concepts/container-management,Container management,Managing Fluid containers - Azure Fluid Relay,,Overview of how to manage containers in Azure Fluid Relay service.,"A Container is the atomic unit of storage in the Azure Fluid Relay service and represents the data stored from a Fluid session, including operations and snapshots. The Fluid runtime uses the container to rehydrate the state of a Fluid session when a user joins for the first time or rejoins after leaving. When building an application with the Fluid Framework, there are several things you need to account for regarding container creation and management, as summarized in this diagram.",2022-07-29T22:02:00.000Z,article,,0.3,False,"Explains container concepts and lifecycle at a high level; lacks specific configuration parameters, limits, or error-resolution flows."
https://learn.microsoft.com/en-us/azure/azure-fluid-relay/concepts/customer-managed-keys,Customer-managed keys for Azure Fluid Relay encryption,Customer-managed keys for Azure Fluid Relay encryption - Azure Fluid Relay,Configure customer-managed keys for Azure Fluid Relay,Better understand the data encryption with CMK,"You can use your own encryption key to protect the data in your Azure Fluid Relay resource. When you specify a customer-managed key (CMK), that key is used to protect and control access to the key that encrypts your data. CMK offers greater flexibility to manage access controls. You must use one of the following Azure key stores to store your CMK: You must create a new Azure Fluid Relay resource to enable CMK. You cannot change the CMK enablement/disablement on an existing Fluid Relay resource. ",2025-10-03T22:10:00.000Z,reference,security,0.8,True,"Details CMK usage, required Azure key stores, and one-way enablement behavior for new resources; these are product-specific encryption and key management behaviors."
https://learn.microsoft.com/en-us/azure/azure-fluid-relay/concepts/data-encryption,Data encryption in Azure Fluid Relay,Data encryption in Azure Fluid Relay - Azure Fluid Relay,Understand Azure Fluid Relay data encryption architecture,Better understand the data encryption in Fluid Relay Server,"Azure Fluid Relay leverages the encryption-at-rest capability ofAzure Kubernetes Service,Azure Cosmos DBandAzure Blob Storage. The service-to-service communication between Azure Fluid Relay and these resources is TLS encrypted and is enclosed in with the Azure Virtual Network boundary, protected from external interference by Network Security Rules. The diagram below shows at a high level how Azure Fluid Relay is implemented and how it handles data storage.",2022-07-29T22:02:00.000Z,reference,security,0.65,True,"Describes how Fluid Relay uses AKS, Cosmos DB, and Blob Storage encryption-at-rest and TLS within a VNet with Network Security Rules; this is product-specific security implementation detail beyond generic concepts."
https://learn.microsoft.com/en-us/azure/azure-fluid-relay/concepts/data-storage,Data storage in Azure Fluid Relay,Data storage in Azure Fluid Relay - Azure Fluid Relay,,Better understand the data storage in Fluid Relay Server,"A Container is the atomic unit of storage in the Azure Fluid Relay service and represents the data stored from a Fluid session, including operations and snapshots. The Fluid runtime uses the container to rehydrate the state of a Fluid session when a user joins for the first time or rejoins after leaving. You have control of the Azure region where container data is stored. During the provisioning of the Azure Fluid Relay resource, you can select the region where you want that data to be stored at",2022-07-29T22:02:00.000Z,reference,,0.3,False,"Conceptual explanation of data storage and region selection; no numeric limits, config matrices, or security role details."
https://learn.microsoft.com/en-us/azure/azure-fluid-relay/concepts/data-structures,Distributed data structures,Distributed data structures - Azure Fluid Relay,,Distributed data structures are the building blocks of Fluid applications,"The Fluid Framework provides developers with distributed data structures (DDSes) that automatically ensure that each connected client has access to the same state. The APIs provided by DDSes are designed to be familiar to programmers who've used common data structures before. Note This article assumes that you are familiar withIntroducing distributed data structureson fluidframework.com. A distributed data structure behaves like a local data structure. Your code can add data to it, remove data, ",2022-07-29T22:02:00.000Z,article,,0.3,False,"Describes distributed data structures conceptually; no product-specific config tables, limits, or quantified best practices."
https://learn.microsoft.com/en-us/azure/azure-fluid-relay/concepts/version-compatibility,Version compatibility,Version compatibility with Fluid Framework releases - Azure Fluid Relay,Match Fluid Framework versions compatible with Azure Fluid Relay,How to determine what versions of the Fluid Framework releases are compatible with Azure Fluid Relay,"To connect your application to Azure Fluid Relay service,
you'll use the@fluidframework/azure-clientlibrary. You'll also use thefluid-frameworklibrary to use the core
data structures and provided by the Fluid Framework. Since you are using Azure Fluid Relay, you should first install the latest available version of@fluidframework/azure-clientand use that version to determine what version of the fluid-framework library to use. The library expresses apeer dependencyon the version of the fluid-frame",2024-01-03T23:07:00.000Z,article,configuration,0.7,True,Explains how @fluidframework/azure-client peer dependency dictates compatible fluid-framework versions; this is specific version-compatibility configuration knowledge.
https://learn.microsoft.com/en-us/azure/azure-fluid-relay/how-tos/azure-function-token-provider,How to: Write a TokenProvider with an Azure Function,How to: Write a TokenProvider with an Azure Function - Azure Fluid Relay,Implement an Azure Function TokenProvider for Fluid Relay,How to write a custom token provider as an Azure Function and deploy it.,"Note This preview version is provided without a service-level agreement, and it's not recommended for production workloads. Certain features might not be supported or might have constrained capabilities. In theFluid Framework, TokenProviders are responsible for creating and signing tokens that the@fluidframework/azure-clientuses to make requests to the Azure Fluid Relay service. The Fluid Framework provides a simple, insecure TokenProvider for development purposes, aptly namedInsecureTokenProvid",2023-03-12T00:00:00.000Z,article,integrations,0.8,True,"Shows how to implement a custom TokenProvider as an Azure Function, including JWT signing and service-specific parameters; this is a concrete integration pattern."
https://learn.microsoft.com/en-us/azure/azure-fluid-relay/how-tos/connect-fluid-azure-service,How to: Connect to an Azure Fluid Relay service,How to: Connect to an Azure Fluid Relay service - Azure Fluid Relay,Connect applications to Azure Fluid Relay using AzureClient,How to connect to an Azure Fluid Relay service using the @fluidframework/azure-client library.,"This article walks through the steps to get your Azure Fluid Relay service provisioned and ready to use. Important Before you can connect your app to an Azure Fluid Relay server, you mustprovision an Azure Fluid Relay serverresource on your Azure account. Azure Fluid Relay service is a cloud-hosted Fluid service. You can connect your Fluid application to an Azure Fluid Relay instance using the AzureClient in the@fluidframework/azure-clientpackage.AzureClienthandles the logic of connecting yourFl",2023-02-03T23:03:00.000Z,article,integrations,0.65,True,Describes using @fluidframework/azure-client to connect to the service; likely includes service-specific connection parameters and patterns beyond generic SDK usage.
