url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/hdinsight/ambari-web-ui-auto-logout,Disable auto logout from Ambari Web UI,Disable auto logout in Azure HDInsight Ambari Web UI if the session is inactive.,Configure Ambari Web UI auto-logout for HDInsight,Disable able auto logout from Ambari Web UI.,"By default, the auto logout feature is enabled for Ambari UI. With this feature, we set a standard 30 mins before the user is logged out due to inactivity. The user will be presented with an automatic logout dialog 60 seconds prior to auto logout. User can click to remain logged in or if no activity occurs, Ambari UI will automatically log out the user and redirect the application to the login page. Note It is recommended to keep this auto logout feature on enable mode only. To disable the auto ",2024-11-25T08:00:00.000Z,how-to,configuration,0.8,True,"Includes exact default timeout (30 minutes) and 60-second warning plus specific Ambari configuration steps to disable/change auto-logout, which are concrete product settings and timeouts."
https://learn.microsoft.com/en-us/azure/hdinsight/apache-ambari-email,Apache Ambari email notifications,Tutorial: Configure Apache Ambari email notifications in Azure HDInsight,Configure Ambari email alerts in HDInsight using SendGrid,This article describes how to use SendGrid with Apache Ambari for email notifications.,"In this tutorial, you configure Apache Ambari email notifications by using SendGrid as an example.Apache Ambarisimplifies the management and monitoring of an Azure HDInsight cluster by providing an easy-to-use web UI and REST API. Ambari is included on HDInsight clusters and is used to monitor the cluster and make configuration changes.SendGridis a free cloud-based email service that provides reliable transactional email delivery, scalability, and real-time analytics along with flexible APIs tha",2025-02-21T05:40:00.000Z,tutorial,integrations,0.8,True,"Describes configuring Ambari email notifications with SendGrid; involves product-specific integration settings (SMTP host, ports, auth fields) and configuration steps unique to Ambari on HDInsight."
https://learn.microsoft.com/en-us/azure/hdinsight/apache-ambari-usage,Apache Ambari in Azure HDInsight,Apache Ambari usage in Azure HDInsight,Understand Ambari server placement in HDInsight clusters,Discussion of how Apache Ambari is used in Azure HDInsight.,"HDInsight uses Apache Ambari for cluster deployment and management. Ambari agents run on every node provided if headnode, worker node, zookeeper, and edgenode are present. Ambari server runs only on headnode. Only one instance of Ambari server shall run at one time. This is controlled by HDInsight failover controller. When one of the headnodes is down for reboot or maintenance, the other headnode will become active and Ambari server on the second headnode will be started. All cluster configurati",2024-06-15T08:00:00.000Z,conceptual,configuration,0.65,True,"Describes where Ambari agents/servers run (headnode, worker, zookeeper, edgenode) and that only one Ambari server instance runs, controlled by HDInsight failover controller. These are product-specific configuration details about component placement and behavior."
https://learn.microsoft.com/en-us/azure/hdinsight/apache-kafka-spark-structured-streaming-cosmosdb,"Apache Spark, Apache Kafka, and Azure Cosmos DB",Apache Spark and Apache Kafka with Azure Cosmos DB - Azure HDInsight,Stream from Kafka to Azure Cosmos DB using Spark,"Learn how to use Apache Spark Structured Streaming to read data from Apache Kafka and then store it into Azure Cosmos DB. In this example, you stream data using a Jupyter Notebook from Spark on HDInsi","Learn how to useApache SparkStructured Streamingto read data fromApache Kafkaon Azure HDInsight, and then store the data into Azure Cosmos DB. Azure Cosmos DBis a globally distributed, multi-model database. This example uses an Azure Cosmos DB for NoSQL database model. For more information, see theWelcome to Azure Cosmos DBdocument. Spark structured streaming is a stream processing engine built on Spark SQL. It allows you to express streaming computations the same as batch computation on static ",2024-12-02T08:00:00.000Z,how-to,integrations,0.75,True,"Shows Spark Structured Streaming from Kafka to Cosmos DB; includes connection strings, configs, and schema/throughput considerations specific to this integration."
https://learn.microsoft.com/en-us/azure/hdinsight/azure-cli-samples,Azure CLI samples,Azure HDInsight: Azure CLI samples,Use Azure CLI scripts for common HDInsight operations,Azure CLI examples for common tasks in Azure HDInsight.,".NET ExamplesPython ExamplesJava Examples This article provides sample scripts for common tasks. For each example, update the variables with the appropriate values, and then execute the command.",2024-09-06T08:00:00.000Z,sample,integrations,0.7,True,"CLI samples for common HDInsight tasks; likely includes concrete command patterns and parameters specific to HDInsight resources, which are integration/config patterns."
https://learn.microsoft.com/en-us/azure/hdinsight/azure-monitor-agent,Azure Monitor Agent Migration,Azure Monitor Agent (AMA) migration guide for Azure HDInsight clusters,Migrate HDInsight monitoring to Azure Monitor Agent,Learn how to migrate to Azure Monitor Agent (AMA) in Azure HDInsight clusters.,"Azure HDInsight is an enterprise-ready, managed-cluster service. This service runs open-source analytics frameworks like Apache Spark, Hadoop, HBase, and Kafka on Azure. Azure HDInsight integrated with other Azure services to enable customers to better manage their big data analytics applications. Log Analytics provides a tool in the Azure portal to edit and run log queries. The queries come from data collected by Azure Monitor Logs and interactively analyze their results. Customers can use Log ",2024-12-03T08:00:00.000Z,how-to,configuration,0.7,True,"Migration guide to AMA for HDInsight clusters. Typically includes configuration steps, agent settings, and HDInsight-specific requirements for log/metric collection."
https://learn.microsoft.com/en-us/azure/hdinsight/cluster-availability-monitor-logs,Cluster availability - Azure Monitor logs,How to monitor cluster availability with Azure Monitor logs in HDInsight,Use Azure Monitor logs for HDInsight availability,Learn how to use Azure Monitor logs to monitor cluster health and availability.,"HDInsight clusters include Azure Monitor logs integration, which provides queryable metrics and logs, as well as configurable alerts. This article shows how to use Azure Monitor to monitor your cluster.",2024-06-15T08:00:00.000Z,how-to,best-practices,0.65,True,"Describes using Azure Monitor logs to monitor HDInsight cluster health and availability; likely includes specific queries, metrics, and alert configurations unique to HDInsight integration."
https://learn.microsoft.com/en-us/azure/hdinsight/cluster-management-best-practices,Cluster management best practices,Cluster management best practices - Azure HDInsight,Apply HDInsight cluster management best practices,Learn best practices for managing HDInsight clusters.,Learn best practices for managing HDInsight clusters.,2024-06-14T08:00:00.000Z,conceptual,best-practices,0.65,True,"Explicitly a best-practices article for HDInsight cluster management; such content typically includes product-specific DOs/DON’Ts, configuration recommendations, and gotchas beyond generic advice."
https://learn.microsoft.com/en-us/azure/hdinsight/cluster-reboot-vm,Reboot cluster nodes,Reboot VMs for Azure HDInsight clusters,Reboot unresponsive HDInsight cluster VMs safely,Learn how to reboot unresponsive VMs for Azure HDInsight clusters.,"Azure HDInsight clusters contain groups of virtual machines (VMs) as cluster nodes. For long-running clusters, these nodes might become unresponsive for various reasons. This article describes how to reboot unresponsive VMs in an HDInsight cluster.",2024-06-15T08:00:00.000Z,how-to,best-practices,0.6,True,"Describes HDInsight-specific steps and caveats for rebooting cluster VMs, including recommended approaches and edge cases, which are operational best practices beyond generic VM reboot knowledge."
https://learn.microsoft.com/en-us/azure/hdinsight/cluster-reliability-issues,Cluster Reliability Issues,Cluster reliability issue with older images in HDInsight clusters,Address reliability issues in older HDInsight images,Cluster reliability issue with older images in HDInsight clusters,"Issue published date: October 13, 2023 As part of the proactive reliability management of Azure HDInsight, we recently found a potential reliability issue on HDInsight clusters that use images dated February 2022 or older.",2024-03-28T17:06:00.000Z,troubleshooting-known-issue,troubleshooting,0.75,True,Documents a reliability issue tied to images dated February 2022 or older and likely includes remediation steps; this is specific to HDInsight image versions and not general knowledge.
https://learn.microsoft.com/en-us/azure/hdinsight/component-version-validation-error-arm-templates,Component version validation error in ARM templates,Component version validation error in Azure Resource Manager templates,Fix HDInsight ARM template component version errors,Component version validation error in ARM templates Known Issue,"Issue published date: October 13, 2023 When you're submitting cluster creation requests by using Azure Resource Manager templates (ARM templates), runbooks, PowerShell, the Azure CLI, and other automation tools, you might receive a ""BadRequest"" error message if you specify the full component version, for example:clusterType = ""Kafka"",HDI version = ""5.0"", andKafka version = ""2.4.1"".",2025-03-24T17:02:00.000Z,troubleshooting-known-issue,troubleshooting,0.85,True,"Covers a specific BadRequest validation error when using full component versions in ARM templates for HDInsight, with concrete version combinations and workarounds—classic product-specific troubleshooting."
https://learn.microsoft.com/en-us/azure/hdinsight/configure-azure-blob-storage,Configure blob storage as primary storage in Azure HDInsight,Configure Azure Blob Storage on Azure HDInsight,Configure managed identity access to Blob storage for HDInsight,Learn how to Configure Azure Blob storage on Azure HDInsight.,Learn how to use managed identities to authenticate Blob storage while configuring primary storage during HDInsight cluster creation.,2025-01-24T12:09:00.000Z,how-to,security,0.7,True,"Focuses on using managed identities to authenticate Blob storage during cluster creation, which typically involves specific identity/role settings and security configuration parameters."
https://learn.microsoft.com/en-us/azure/hdinsight/connect-on-premises-network,Connect HDInsight with on-premises network,Connect Azure HDInsight to your on-premises network,Connect HDInsight to on-premises networks via VPN,"Learn how to create an HDInsight cluster in an Azure Virtual Network, and then connect it to your on-premises network. Learn how to configure name resolution between HDInsight and your on-premises net",Learn how to connect HDInsight to your on-premises network by using Azure Virtual Networks and a VPN gateway. This document provides planning information on:,2024-06-15T08:00:00.000Z,how-to,architecture-patterns,0.65,True,"Provides planning and configuration details for hybrid connectivity (VNet + VPN gateway + DNS) specific to HDInsight, representing a concrete architecture pattern for hybrid deployments."
https://learn.microsoft.com/en-us/azure/hdinsight/control-network-traffic,Control network traffic,Control network traffic in Azure HDInsight,Control inbound and outbound traffic for HDInsight,Learn techniques for controlling inbound and outbound traffic to Azure HDInsight clusters.,"Network traffic in an Azure Virtual Networks can be controlled using the following methods: Network security groups(NSG) allow you to filter inbound and outbound traffic to the network. For more information, see theFilter network traffic with network security groupsdocument. Network virtual appliances(NVA) can be used with outbound traffic only. NVAs replicate the functionality of devices such as firewalls and routers. For more information, see theNetwork Appliancesdocument. As a managed service",2024-06-15T08:00:00.000Z,conceptual,security,0.7,True,"Contains HDInsight-specific NSG and NVA guidance, including which ports/endpoints must be allowed or restricted; these are concrete, product-specific network security configurations."
