url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/hpc-cache/access-policies,Customize access policies,Use access policies in Azure HPC Cache,Define and apply client access policies in HPC Cache,How to create and apply custom access policies to limit client access to storage targets in Azure HPC Cache,"This article explains how to create and apply custom client access policies for your storage targets. Client access policies control how clients are permitted to connect to the storage target exports. You can control things like root squash and read/write access at the client host or network level. Access policies are applied to a namespace path, which means that you can use different access policies for two different exports on an NFS storage system. This feature is for workflows where you need",2022-05-19T00:00:00Z,how-to,security,0.8,True,"Product-specific security/access control feature (root squash, read/write per host/network, per-namespace policies); concrete configuration of access behavior."
https://learn.microsoft.com/en-us/azure/hpc-cache/add-namespace-paths,Add namespace paths,Configure the Azure HPC Cache aggregated namespace,Configure client-facing namespace paths in HPC Cache,How to create client-facing paths for back-end storage with Azure HPC Cache,"After you create storage targets, you must also create namespace paths for them. Client machines use these virtual paths to access files through the cache instead of connecting to the back-end storage directly. This system lets cache administrators change back-end storage systems without having to rewrite client instructions. ReadPlan the aggregated namespaceto learn more about this feature. TheNamespacepage in the Azure portal shows the paths that clients use to access your data through the cac",2021-04-22T00:00:00Z,how-to,configuration,0.7,True,Details how to define and manage namespace paths that map to back-end storage; product-specific configuration behavior for the aggregated namespace.
https://learn.microsoft.com/en-us/azure/hpc-cache/az-cli-prerequisites,Set up Azure CLI for Azure HPC Cache,Azure CLI prerequisites for Azure HPC Cache,Prepare Azure CLI environment for managing Azure HPC Cache,Setup steps before you can use Azure CLI to create or modify an Azure HPC Cache,Follow these steps to prepare your environment before using Azure CLI to create or manage an Azure HPC Cache.,2020-07-08T00:00:00Z,how-to,configuration,0.65,True,"Covers specific prerequisites and setup steps required before using Azure CLI with HPC Cache, likely including required extensions, versions, and commands. These are concrete configuration requirements for this product’s CLI usage."
https://learn.microsoft.com/en-us/azure/hpc-cache/cache-usage-models,Understand cache usage models,Azure HPC Cache usage models,Choose Azure HPC Cache usage models and policies,Describes the different cache usage models and how to choose among them to set read-only or read/write caching and control other caching settings,Cache usage models let you customize how your Azure HPC Cache stores files to speed up your workflow.,2024-02-16T00:00:00Z,how-to,architecture-patterns,0.7,True,"Explains product-specific cache usage models (read-only vs read/write, write-behind behavior, etc.) and how to choose among them for different workloads; these are unique design decisions for this service."
https://learn.microsoft.com/en-us/azure/hpc-cache/client-load-balancing,Load balance client traffic,Load balance client connections to Azure HPC Cache,Design DNS-based client load balancing for Azure HPC Cache,How to configure a DNS server for round-robin load balancing for Azure HPC Cache,"This article explains some basic methods for balancing client traffic to all of the mount points on your Azure HPC Cache. Every HPC Cache has at least three different IP addresses, and caches with larger throughput values can have up to 12. It's important to use all the IP addresses to get the full benefits of Azure HPC Cache. There are various options for load-balancing your client mounts: The right load-balancing system for you depends on the complexity of your workflow, the number of IP addre",2021-09-20T00:00:00Z,how-to,architecture-patterns,0.65,True,"Provides methods for distributing client connections across multiple cache IPs using DNS round-robin and other options, tied to throughput and IP count. This is a product-specific traffic-distribution pattern rather than generic DNS theory."
https://learn.microsoft.com/en-us/azure/hpc-cache/configuration,Configure optional settings,Configure Azure HPC Cache settings,"Configure networking, NTP, DNS, and snapshots for HPC Cache","Explains how to configure additional settings for the cache like MTU, custom NTP and DNS configuration, and how to access the express snapshots from Azure Blob storage targets.","TheNetworkingpage in the Azure portal has options for customizing several settings. Most users don't need to change these settings from their default values. This article also describes how to use the snapshot feature for Azure Blob storage targets. The snapshot feature has no configurable settings. To see the settings, open the cache'sNetworkingpage in the Azure portal.",2022-05-16T00:00:00Z,how-to,configuration,0.75,True,"Explicitly about MTU, custom NTP/DNS, and snapshot access; these are concrete configuration settings and behaviors unique to the product."
https://learn.microsoft.com/en-us/azure/hpc-cache/custom-flush-script,Customize file write-back,Use a python library to customize file write-back,Use the flush_file Python utility for Azure HPC Cache write-back,Advanced file write-back with Azure HPC Cache,"HPC Cache users can request that the cache write specific individual files to back-end storage on demand by using the flush_file.py utility. This utility is a separately downloaded software package that you install and use on Linux client machines. This feature is designed for situations where you want the changes on cached files to be made available as soon as possible to systems that don't mount the cache. For example, you might use Azure HPC Cache to scale your computing jobs in the cloud, bu",2022-07-07T00:00:00Z,how-to,integrations,0.7,True,"Describes a specific Python library/utility (flush_file.py) for on-demand file write-back to back-end storage, including how it interacts with HPC Cache. This is a code-level integration pattern unique to this product."
https://learn.microsoft.com/en-us/azure/hpc-cache/customer-keys,Use customer-managed encryption keys,Use customer-managed keys to encrypt data in Azure HPC Cache,Configure customer-managed encryption keys for Azure HPC Cache,How to use Azure Key Vault with Azure HPC Cache to control encryption key access instead of using the default Microsoft-managed encryption keys,"You can use Azure Key Vault to control ownership of the keys used to encrypt your data in Azure HPC Cache. This article explains how to use customer-managed keys for cache data encryption. Note All data stored in Azure, including on the cache disks, is encrypted at rest using Microsoft-managed keys by default. You only need to follow the steps in this article if you want to manage the keys used to encrypt your data. Azure HPC Cache also is protected byVM host encryptionon the managed disks that ",2022-11-02T00:00:00Z,how-to,security,0.85,True,"Details using Azure Key Vault and customer-managed keys instead of Microsoft-managed keys, including product-specific encryption behavior and requirements. This is security configuration for this service."
https://learn.microsoft.com/en-us/azure/hpc-cache/directory-services,Set up directory services,Use extended groups in Azure HPC Cache,Configure directory services and extended groups for Azure HPC Cache,How to configure directory services for client access to storage targets in Azure HPC Cache,"TheDirectory servicessettings allow your Azure HPC Cache to use an outside source to authenticate users for accessing back-end storage. You might need to enableExtended groupsif your workflow includes NFS storage targets and clients that are members of more than 16 groups. After you click the button to enable extended groups, you must choose the source that Azure HPC Cache will use to get user and group credentials. Note Make sure that your cache can access its group information source from insi",2022-07-27T00:00:00Z,how-to,configuration,0.7,True,"Describes product-specific directory service settings, including an 'Extended groups' feature and how to select and configure external group information sources for NFS storage targets. These are concrete configuration behaviors unique to Azure HPC Cache rather than generic concepts."
https://learn.microsoft.com/en-us/azure/hpc-cache/hpc-cache-add-storage,Add storage targets,Add storage to an Azure HPC Cache,Configure Azure HPC Cache storage targets,How to define storage targets so that your Azure HPC Cache can use your on-premises NFS system or Azure Blob containers for long-term file storage,"Storage targetsare back-end storage for files that are accessed through an Azure HPC Cache. You can add NFS storage (like an on-premises hardware system), or store data in Azure Blob. The cache presents all of the storage targets in oneaggregated namespace. The namespace paths are configured separately after you add the storage targets. Remember that the storage exports must be accessible from your cache's virtual network. For on-premises hardware storage, you might need to set up a DNS server t",2023-03-01T00:00:00Z,how-to,configuration,0.65,True,"Product-specific configuration of NFS and Blob storage targets, including requirements like DNS accessibility and export configuration; these are concrete settings unique to HPC Cache."
