url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/internet-peering/faqs,Internet peering FAQ,Internet peering - FAQ,,This article provides answers to some of the frequently asked questions asked about Internet peering.,This article provides answers to some of the frequently asked questions about Internet peering.,2024-10-23T08:00:00.000Z,faq,,0.3,False,"FAQ likely mixes conceptual and procedural Q&A; summary does not indicate structured error-code mappings, config tables, or numeric limits that would qualify as expert knowledge."
https://learn.microsoft.com/en-us/azure/internet-peering/how-to-exchange-route-server-portal,Create or modify an Exchange peering with route server,Create or modify an Exchange peering with Route Server - Azure portal - Internet Peering,,Create or modify an Exchange peering with Route Server using the Azure portal.,"In this article, you learn how to create a Microsoft Exchange peering with a route server using the Azure portal. This article also shows you how to check the status of the resource, update it, or delete and deprovision it.",2025-03-03T08:00:00.000Z,how-to,,0.2,False,"Portal how-to for creating/modifying Exchange peering with Route Server. The summary indicates basic CRUD operations and status checks, not detailed limits, configuration tables, or error-resolution content."
https://learn.microsoft.com/en-us/azure/internet-peering/howto-direct-portal,Create or modify a Direct peering,Create or modify a Direct peering - Azure portal - Internet Peering,,Learn how to create or modify a Direct peering using the Azure portal.,"In this article, you learn how to create a Microsoft Direct peering for an Internet Service Provider or Internet Exchange Provider using the Azure portal. This article also shows you how to check the status of the resource, update it, or delete it.",2025-03-03T08:00:00.000Z,how-to,,0.4,False,"Create/modify direct peering article is a portal walkthrough; while it touches configuration, it is not described as a comprehensive configuration reference with parameter tables and ranges."
https://learn.microsoft.com/en-us/azure/internet-peering/howto-exchange-portal,Create or modify an Exchange peering,Create or modify an Exchange peering - Azure portal - Internet Peering,,Learn how to create or modify an Exchange peering using the Azure portal.,"In this article, you learn how to create a Microsoft Exchange peering using the Azure portal. This article also shows you how to check the status of the resource, update it, or delete and deprovision it.",2025-03-03T08:00:00.000Z,how-to,,0.2,False,"Task-focused portal how-to for creating/modifying Exchange peering. Based on description/summary, it is a step-by-step UI guide without explicit limits, configuration parameter tables, error-code mappings, or other expert-only details."
https://learn.microsoft.com/en-us/azure/internet-peering/howto-legacy-direct-portal,Convert a legacy Direct peering to Azure resource,Convert a legacy Direct peering to an Azure resource - Azure portal - Internet Peering,,Learn how to convert a legacy Direct peering to an Azure resource using the Azure portal.,"In this article, you learn how to convert an existing legacy Direct peering to an Azure resource by using the Azure portal.",2025-03-03T08:00:00.000Z,how-to,,0.4,False,"Legacy direct peering conversion article focuses on migration steps; summary does not indicate detailed configuration matrices, limits, or troubleshooting mappings."
https://learn.microsoft.com/en-us/azure/internet-peering/howto-legacy-exchange-portal,Convert a legacy Exchange peering to Azure resource,Convert a legacy Exchange peering to an Azure resource - Azure portal - Internet Peering,,Learn how to convert a legacy Exchange peering to an Azure resource using the Azure portal.,"In this article, you learn how to convert an existing legacy Exchange peering to an Azure resource using the Azure portal.",2025-03-20T22:03:00.000Z,how-to,,0.2,False,"Describes converting a legacy Exchange peering to an Azure resource via the portal. Appears to be a procedural migration guide without numeric limits, detailed configuration matrices, or troubleshooting mappings."
https://learn.microsoft.com/en-us/azure/internet-peering/howto-peering-service-portal,Enable Peering Service on a Direct peering,Enable Azure Peering Service on a Direct peering - Azure portal - Internet Peering,,Learn how to enable Azure Peering Service on a Direct peering using the Azure portal.,"In this article, you learn how to enableAzure Peering Serviceon a Direct peering using the Azure portal.",2025-03-20T22:03:00.000Z,how-to,,0.4,False,Enabling Peering Service on a direct peering is a portal-based procedure; summary does not show detailed configuration options or limits beyond basic enablement steps.
https://learn.microsoft.com/en-us/azure/internet-peering/howto-peering-service-voice-portal,Enable Peering Service Voice on a Direct peering,Enable Azure Peering Service Voice on a Direct peering - Azure portal,,Learn how to enable Azure Peering Service for voice on a Direct peering using the Azure portal.,"In this article, you learn how to enable Azure Peering Service for voice on a Direct peering using the Azure portal. For more information, seePeering Service.",2025-03-03T08:00:00.000Z,how-to,,0.4,False,Voice-specific Peering Service enablement is a scenario-focused how-to; no indication of structured configuration reference or numeric constraints.
https://learn.microsoft.com/en-us/azure/internet-peering/howto-subscription-association-portal,Associate peer ASN to Azure subscription,Associate your ASN to Azure subscription - Azure portal - Internet Peering,,Learn how to associate peer ASN to Azure subscription using the Azure portal.,"In this article, you learn how to associate your Autonomous System Number (ASN) with an Azure subscription using the Azure portal. As an Internet Service Provider or Internet Exchange Provider, you must associate your peer ASN with an Azure subscription before you submit a peering request.",2025-04-21T08:00:00.000Z,how-to,,0.4,False,ASN association article describes a required step in the portal; likely a short how-to without comprehensive configuration parameter tables or numeric constraints.
https://learn.microsoft.com/en-us/azure/internet-peering/overview,About Internet peering,Set up peering with Microsoft,,Overview of peering.,Peering is the interconnection between Microsoft’s global network (AS8075) and your network for the purpose of exchanging internet traffic from/to Microsoft online services and Microsoft Azure Services. Carriers or Service Providers can request to connect with Microsoft at any of our Edge locations. Each request is reviewed by Microsoft to ensure that it adheres to our peering policy. You can set up a peering with Microsoft network in two ways: Direct peering: Peering is established over direct ,2025-04-21T08:00:00.000Z,overview,,0.2,False,"High-level overview of internet peering concepts and options (direct vs exchange) without detailed limits, configuration parameters, or error mappings."
