url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/azure-functions/functions-bindings-cache,Using Azure Functions to create a write-behind cache,Using Azure Functions for Azure Cache for Redis,Integrate Azure Functions with Azure Redis services using bindings,Learn how to use Azure Functions Azure Cache for Redis,"This article describes how to use either Azure Managed Redis or Azure Cache for Redis with Azure Functions to create optimized serverless and event-driven architectures. Azure Functions provides an event-driven programming model where triggers and bindings are key features. With Azure Functions, you can easily build event-driven serverless applications. Azure Redis services (Azure Managed Redis and Azure Cache for Redis) provide a set of building blocks and best practices for building distribute",2025-08-18T22:33:00.000Z,reference,integrations,0.8,True,"Explains Azure Functions triggers/bindings for Azure Managed Redis/Azure Cache for Redis, likely with binding configuration parameters and patterns unique to this integration."
https://learn.microsoft.com/en-us/azure/redis/architecture,Azure Managed Redis architecture,Azure Managed Redis Architecture - Azure Managed Redis,Understand Azure Managed Redis architecture internals,Learn how Azure Managed Redis is architected,"Azure Managed Redis runs on theRedis Enterprisestack, which provides significant advantages over the community edition of Redis. The following information provides greater detail about how Azure Managed Redis is architected, including information that can be useful to power users.",2025-12-15T12:12:00.000Z,article,architecture-patterns,0.6,True,"Architecture article for a managed service typically includes product-specific topology, sharding, persistence, and failover patterns not captured in generic knowledge."
https://learn.microsoft.com/en-us/azure/redis/aspnet-core-output-cache-provider,Use ASP.NET core output cache,ASP.NET Core output cache provider for Azure Cache for Redis - Azure Managed Redis,Configure ASP.NET Core output caching with Azure Cache for Redis,Use the Redis Output Cache Provider to cache ASP.NET Core page output out of process by using Azure Cache for Redis.,"This article explains how to configure Redis output caching middleware in an ASP.NET Core app. The output caching middleware enables caching of HTTP responses. The benefits of using output caching include: The benefits of using Azure Cache for Redis as your output cache include: You can use the output caching middleware in all types of ASP.NET Core apps: minimal API, web API with controllers, Model-View-Controller (MVC), and Razor Pages. For a detailed walkthrough of output caching syntax and fe",2025-03-31T22:36:00.000Z,tutorial,integrations,0.8,True,"Details configuring Redis output caching middleware with Azure Cache for Redis, including middleware options and Redis-specific settings, a concrete integration pattern."
https://learn.microsoft.com/en-us/azure/redis/best-practices-client-libraries,Client libraries best practices,Best practices using client libraries with Azure Managed Redis - Azure Managed Redis,Apply client library best practices for Azure Managed Redis,Learn about client libraries for Azure Managed Redis.,"This article helps you choose and use the best client libraries for Azure Managed Redis. You learn which libraries to use for your programming language, how to handle clustering policies, and avoid common connection issues. Azure Managed Redis is based on the popular in-memory data store, Redis. Redis clients for many programming languages can access Azure Managed Redis. Each client library has its own API that makes calls to Redis server using Redis commands, but the client libraries are built ",2025-11-25T23:25:00.000Z,article,best-practices,0.8,True,"A best-practices article for Redis client libraries is likely to include concrete, product-specific recommendations (for example, preferred libraries per language, configuration flags, connection patterns for clustering, and how to avoid specific connection pitfalls). These are actionable DO/DON'T guidelines tied to Azure Managed Redis behavior, not generic programming advice."
https://learn.microsoft.com/en-us/azure/redis/best-practices-connection,Connection resilience best practices,Best practices for connection resilience for Azure Managed Redis - Azure Managed Redis,Design resilient connections to Azure Managed Redis,Learn how to make your Azure Managed Redis connections resilient.,"In this article, we discuss how to make resilient connections to your cache.",2025-05-19T17:08:00.000Z,conceptual,best-practices,0.8,True,"Connection resilience guidance for a specific managed service typically includes concrete retry policies, timeout values, connection multiplexer usage, and handling of failover or transient faults. These are actionable, product-specific DO/DON'T patterns and edge cases."
https://learn.microsoft.com/en-us/azure/redis/best-practices-development,Development best practice,Best practices for development for Azure Managed Redis - Azure Managed Redis,Implement development best practices for Azure Managed Redis,Learn how to develop code for Azure Managed Redis.,"In this article, we discuss how to develop code for Azure Managed Redis.",2025-05-18T08:00:00.000Z,conceptual,best-practices,0.7,True,"Development best practices for this managed service are likely to include concrete patterns (for example, recommended command usage, retry patterns, timeouts, serialization choices) and Azure-specific gotchas. These are actionable, product-specific recommendations rather than generic theory."
https://learn.microsoft.com/en-us/azure/redis/best-practices-kubernetes,Kubernetes-hosted client applications best practices,Best practices for hosting a Kubernetes client application for Azure Managed Redis - Azure Managed Redis,Host Kubernetes client apps using Azure Managed Redis,Learn how to host a Kubernetes client application that uses Azure Managed Redis.,,2025-05-19T17:08:00.000Z,conceptual,best-practices,0.7,True,"Hosting a Kubernetes client application for Azure Managed Redis will involve specific deployment patterns, configuration values (environment variables, connection settings), and integration nuances between Kubernetes and the managed Redis service. These are product-specific best practices and coding patterns."
https://learn.microsoft.com/en-us/azure/redis/best-practices-memory-management,Memory management best practice,Best practices for memory management for Azure Managed Redis - Azure Managed Redis,Optimize Azure Managed Redis memory usage and eviction,Learn how to manage your Azure Managed Redis memory effectively with Azure Managed Redis.,"In this article, we discuss effective memory management of an Azure Managed Redis cache.",2025-05-19T17:08:00.000Z,conceptual,best-practices,0.85,True,"Memory management guidance for a managed Redis service typically includes specific configuration options (eviction policies, thresholds, persistence settings) and product-specific behaviors under memory pressure. These are concrete DO/DON'T recommendations and edge cases unique to Azure Managed Redis."
https://learn.microsoft.com/en-us/azure/redis/best-practices-performance,Performance testing best practice,Best practices for performance testing for Azure Managed Redis - Azure Managed Redis,Run performance benchmarking for Azure Managed Redis,Learn how to test the performance of Azure Managed Redis.,"Testing the performance of a Redis instance can be a complicated task. The performance of a Redis instance can vary based on parameters such as the number of clients, the size of data values, and whether pipelining is being used. There also can be a tradeoff between optimizing throughput or latency. Fortunately, several tools exist to make benchmarking Redis easier. Two of the most popular tools areredis-benchmarkandmemtier-benchmark. This article focuses on memtier_benchmark, often calledmemtie",2025-11-10T08:00:00.000Z,conceptual,best-practices,0.8,True,"Performance testing guidance that focuses on tools like memtier_benchmark usually includes specific command-line parameters, recommended configurations, and patterns for measuring throughput/latency on Azure Managed Redis. These are concrete, product-specific recommendations and tuning patterns."
https://learn.microsoft.com/en-us/azure/redis/best-practices-scale,Scaling best practices,Best practices for scaling for Azure Managed Redis - Azure Managed Redis,Apply scaling best practices for Azure Managed Redis,Learn how to scale your Azure Managed Redis.,"In this article, we discuss concepts of when and why to scale your Azure Managed Redis cache.",2025-05-19T17:08:00.000Z,conceptual,best-practices,0.7,True,"Scaling best practices typically include concrete guidance such as when to scale up vs. out, how to interpret specific metrics/thresholds, and Azure-specific behaviors during scaling. These are actionable, product-specific recommendations beyond generic scaling theory."
